${EDITOR}	1
${HOME}	
${XDG_CONFIG_HOME}	5
${XDG_DATA_HOME}	
+370 624 62239	65
€	378
1428230	348
_________	18
print("-----------------------")	
print("here");	1
tomasgiedraitis@gmail.com	168
# vim: set tw=79 nu ai et ts=2 sw=2:	28
# vim: set ft=bash tw=79 nu ai et ts=2 sw=2:	30
-- vim: set ft=lua tw=79 nu ai et ts=2 sw=2:	26
-- vim: set ft=sql tw=79 nu ai et ts=4 sw=4:	13
<!-- vim: set ft=markdown tw=88 nu ai et ts=2 sw=2: -->	17
% vim: set ft=tex tw=100 nu ai et ts=2 sts=2 sw=2:	5
# vim: set ft=make tw=100 nu noet ts=8 sw=8:	5
# vim: set ft=python tw=88 nu ai et ts=4 sw=4:	3
#!/usr/bin/env bash	2
#!/usr/bin/env python3	4
«»	
°C	1
±	
·	2
º	
×	3
en dash –	27
em dash —	7
cool dash ─	2
’”	
‚‘	
„“	12
•	16
EUR (€)	11
```	
Please transcribe 	2
Respond if you've read it. Nothing more.	40
39405090	61
gamescope -W 3840 -H 2160 -r 60 -- %command%	
https://uxlinks.lt/clock/	1
Amazon Linux 2023 kernel-6.1	2
3.120.81.212	
Google Firebase Studio	5
Google Keyword Planner	2
rorosroros1	59
tomas.giedraitis@yahoo.com	5
tomas.giedraitis@cern.ch	24
PostgreSQL	1
gamespot	9
tomas.giedraitis@mif.stud.vu.lt	38
Cod3Academy	2
set -o vi	2
Keep your answer short	2
β	3
●	4
Announcement	40
Eisenhower matrix	1
groceries	3
teams_chat_1	5
dont respond	23
COMMITMSG	38
transcript	4
Lecture	3
CERN building 40, 1217 Meyrin	3
